Percentage served,Time in ms
0,2.785
1,2.808
2,2.831
3,2.844
4,2.859
5,2.874
6,2.891
7,2.911
8,2.954
9,2.988
10,3.026
11,3.060
12,3.071
13,3.088
14,3.104
15,3.130
16,3.149
17,3.175
18,3.195
19,3.242
20,3.284
21,3.356
22,3.399
23,3.492
24,3.556
25,3.576
26,3.587
27,3.601
28,3.620
29,3.630
30,3.646
31,3.667
32,3.692
33,3.742
34,3.775
35,3.813
36,3.850
37,3.888
38,3.920
39,3.975
40,4.008
41,4.129
42,4.212
43,4.308
44,4.578
45,5.328
46,6.587
47,7.498
48,10.378
49,40.271
50,40.318
51,40.345
52,40.364
53,40.382
54,40.402
55,40.431
56,40.461
57,40.616
58,40.644
59,40.689
60,40.754
61,40.795
62,40.829
63,40.855
64,40.883
65,40.923
66,40.955
67,40.990
68,41.024
69,41.078
70,41.110
71,41.136
72,41.148
73,41.166
74,41.180
75,41.224
76,41.474
77,41.850
78,42.293
79,42.760
80,43.060
81,43.393
82,43.725
83,43.830
84,43.954
85,44.114
86,44.183
87,44.245
88,44.963
89,48.004
90,187.551
91,189.340
92,191.155
93,191.936
94,195.753
95,198.824
96,201.777
97,209.507
98,220.330
99,240.012
100,366.583
