Percentage served,Time in ms
0,5.217
1,6.586
2,7.364
3,8.345
4,9.376
5,10.628
6,11.631
7,12.594
8,13.022
9,13.645
10,14.807
11,16.188
12,16.931
13,17.568
14,18.074
15,19.063
16,19.561
17,19.933
18,20.552
19,21.232
20,21.910
21,22.454
22,23.246
23,23.904
24,24.896
25,25.575
26,25.800
27,26.502
28,27.093
29,27.524
30,28.313
31,28.830
32,29.197
33,29.870
34,30.375
35,31.190
36,31.702
37,32.121
38,32.712
39,33.507
40,34.842
41,35.914
42,36.827
43,37.336
44,37.835
45,38.721
46,39.696
47,40.439
48,41.481
49,42.288
50,43.231
51,44.332
52,45.330
53,46.099
54,47.013
55,48.159
56,48.988
57,50.022
58,50.795
59,51.752
60,53.548
61,55.511
62,57.525
63,58.971
64,61.005
65,62.211
66,63.708
67,64.746
68,65.756
69,66.717
70,68.048
71,69.059
72,70.008
73,70.940
74,72.131
75,73.152
76,74.909
77,76.101
78,77.457
79,78.722
80,80.326
81,81.722
82,84.013
83,85.747
84,88.655
85,91.663
86,98.902
87,119.284
88,156.513
89,411.426
90,424.681
91,438.731
92,453.796
93,471.407
94,507.639
95,535.854
96,577.634
97,1642.018
98,1669.658
99,2074.728
100,2199.576
