Percentage served,Time in ms
0,4.050
1,5.065
2,5.486
3,6.212
4,7.095
5,7.837
6,8.146
7,9.383
8,9.983
9,10.488
10,11.259
11,11.919
12,12.565
13,13.331
14,13.966
15,14.554
16,15.060
17,15.607
18,16.107
19,16.551
20,17.072
21,17.423
22,17.946
23,18.268
24,18.606
25,19.017
26,19.391
27,19.874
28,20.540
29,20.960
30,21.311
31,21.820
32,22.642
33,23.068
34,23.509
35,23.942
36,24.319
37,24.723
38,24.970
39,25.529
40,26.405
41,26.661
42,27.368
43,27.704
44,27.957
45,28.298
46,28.626
47,29.000
48,29.566
49,30.029
50,30.323
51,30.771
52,31.282
53,31.670
54,31.861
55,32.250
56,32.750
57,33.420
58,34.051
59,34.398
60,35.221
61,35.710
62,36.113
63,36.490
64,37.279
65,37.933
66,38.428
67,39.339
68,39.841
69,40.558
70,41.037
71,41.642
72,42.619
73,43.829
74,45.498
75,46.868
76,47.866
77,49.369
78,52.180
79,54.873
80,65.366
81,171.654
82,176.888
83,180.262
84,184.715
85,188.073
86,190.309
87,193.098
88,196.409
89,203.475
90,271.663
91,425.306
92,445.553
93,459.167
94,470.953
95,480.866
96,506.002
97,578.113
98,608.305
99,650.278
100,796.567
