Percentage served,Time in ms
0,4.429
1,5.980
2,6.867
3,7.724
4,8.896
5,10.275
6,10.888
7,11.863
8,12.689
9,13.141
10,14.101
11,15.114
12,15.608
13,16.202
14,16.610
15,17.300
16,18.063
17,18.605
18,19.168
19,19.736
20,20.444
21,21.206
22,21.961
23,22.462
24,22.975
25,23.329
26,24.006
27,24.648
28,25.496
29,25.839
30,26.119
31,26.744
32,27.420
33,28.021
34,28.887
35,29.484
36,29.820
37,30.244
38,30.954
39,32.069
40,32.977
41,33.470
42,34.437
43,35.708
44,36.636
45,38.171
46,39.090
47,40.131
48,42.091
49,44.068
50,45.510
51,46.783
52,47.969
53,49.841
54,50.902
55,51.676
56,52.888
57,54.048
58,55.366
59,56.178
60,56.667
61,57.668
62,58.135
63,59.126
64,60.162
65,61.753
66,62.642
67,63.792
68,64.513
69,65.216
70,66.299
71,66.942
72,67.683
73,69.282
74,70.823
75,71.528
76,72.466
77,73.500
78,74.411
79,75.080
80,76.342
81,77.638
82,78.337
83,80.480
84,83.024
85,85.938
86,88.465
87,94.098
88,123.893
89,332.000
90,446.606
91,470.858
92,492.272
93,502.760
94,508.761
95,518.782
96,552.632
97,2153.386
98,2195.709
99,2622.535
100,2680.626
