Percentage served,Time in ms
0,3.314
1,4.074
2,4.667
3,5.015
4,5.562
5,6.113
6,7.203
7,7.556
8,8.109
9,8.536
10,8.981
11,9.565
12,9.985
13,10.367
14,10.820
15,11.211
16,11.533
17,11.910
18,12.368
19,12.990
20,13.392
21,13.772
22,14.075
23,14.775
24,15.283
25,15.516
26,16.083
27,16.412
28,16.847
29,17.192
30,17.481
31,17.815
32,18.339
33,18.874
34,19.125
35,19.510
36,19.786
37,20.090
38,20.246
39,20.444
40,20.736
41,21.096
42,21.416
43,21.626
44,22.071
45,22.344
46,22.955
47,23.428
48,23.734
49,24.042
50,24.358
51,24.771
52,25.076
53,25.465
54,25.690
55,26.260
56,26.779
57,27.306
58,27.482
59,27.778
60,28.153
61,28.566
62,29.021
63,29.514
64,29.876
65,30.279
66,30.814
67,31.208
68,31.489
69,32.144
70,32.505
71,33.242
72,34.129
73,34.816
74,35.462
75,35.811
76,36.416
77,37.471
78,38.252
79,39.099
80,39.714
81,40.867
82,41.906
83,45.198
84,46.938
85,49.363
86,54.081
87,59.929
88,75.755
89,91.992
90,218.462
91,238.951
92,250.538
93,257.171
94,275.688
95,284.620
96,296.661
97,305.283
98,315.090
99,364.741
100,491.225
