batch,p50,p75,p90,p99,end_time,batch_rps,average_rps
0,30.471,49.930,301.737,790.427,2.689182561,380.78485813890416,380.78485813890416
1,28.523,46.229,252.462,379.879,4.745578661,497.95854018591075,431.5595939502224
2,27.648,48.301,256.065,431.576,6.850417134,486.4981389952007,448.4398453275269
3,28.443,46.951,261.381,397.180,8.960309901,485.3327221250196,457.1270464141952
4,28.714,48.316,269.264,403.283,11.064264701,486.70247098464273,462.75104025098466
5,27.174,48.015,259.046,400.679,13.117494286,498.7264977481808,468.3821365607416
6,27.473,47.972,267.661,414.388,15.211236943,489.076342107501,471.23057952881436
7,28.487,48.988,256.937,396.735,17.309149537,488.10422461289625,473.2757078843648
8,28.364,47.892,264.345,384.489,19.361606852,498.914151595888,475.99355107492084
9,28.482,49.852,273.144,389.809,21.476046582,484.28904615786865,476.810290055088
10,28.163,47.762,249.243,400.020,23.589251551,484.5720197622719,477.5056120643427
11,28.076,47.927,276.866,402.104,25.686629627,488.2286182531837,478.38117255693635
12,27.379,46.253,272.758,381.570,27.754440358,495.20973300336317,479.6349639297598
13,29.595,47.346,273.942,408.094,29.863169632,485.6005048280082,480.0562089242597
14,28.819,48.020,260.022,405.285,31.982416987,483.19041077675456,480.2638901945225
15,27.889,49.237,254.143,429.162,34.087003971,486.5562734089396,480.6523921532945
16,28.253,46.319,273.929,372.249,36.148867751,496.6380465735724,481.56418397138975
17,27.494,47.699,245.992,416.814,38.251002393,487.12388804256176,481.86972489309426
18,28.302,46.874,265.297,389.368,40.353639158,487.0075597674618,482.13743310292995
19,28.582,46.918,269.766,379.559,42.414423446,496.89819840086034,482.8546125606104
20,28.779,48.488,266.600,401.204,44.513808692,487.76183501863164,483.0860497422385
21,26.954,49.188,271.778,401.815,46.615203724,487.2953368626791,483.2758027484793
22,27.896,47.445,255.986,392.211,48.718798908,486.78567425356886,483.4273530526752
23,28.131,48.175,271.229,380.236,50.794910427,493.22976662314807,483.82800153411915
24,28.718,46.903,261.627,415.115,52.907439745,484.7270006029805,483.8638974666946
25,28.641,46.484,251.406,417.730,55.019838364,484.7569917863112,483.8981863934434
26,28.298,46.827,250.602,379.412,57.074512419,498.3758847336982,484.41938140493045
27,28.400,49.080,266.979,424.671,59.192958211,483.3732370528375,484.38194113893434
28,28.105,47.209,249.152,417.837,61.310533137,483.57202733519637,484.35396791679347
29,27.593,46.410,251.745,381.465,63.357646902,500.2164596357939,484.86649208290385
30,28.154,47.510,263.742,411.484,65.457980388,487.54162461608325,484.9523283767464
31,28.155,47.960,249.861,398.014,67.567513229,485.415529020436,484.9667900155302
32,28.063,49.349,252.639,406.713,69.654770641,490.59593422107355,485.13547154097506
33,26.770,46.596,232.970,378.373,71.702827982,499.98600112436907,485.5596491778549
34,28.046,48.217,264.263,409.679,73.800634995,488.12879051997106,485.63267785471174
35,27.892,48.492,263.121,391.837,75.901312586,487.46176204628085,485.6833003807574
36,28.516,48.313,264.032,400.889,78.021839771,482.89878443600327,485.607621035394
37,28.218,44.451,247.748,400.954,80.068093806,500.4266246932557,485.9863417540744
38,27.620,47.750,271.457,381.420,82.17338862,486.39268628341284,485.99675236321053
39,28.061,49.043,249.262,410.922,84.280146487,486.0549074195058,485.99820607001413
40,28.773,45.922,266.409,366.294,86.330663635,499.3862163009823,486.31619672826116
41,26.973,48.343,266.475,414.600,88.437582342,486.0178024894234,486.30908784550775
42,29.272,48.482,266.955,405.391,90.556368443,483.295600021496,486.2385799814355
43,28.556,48.823,261.398,397.855,92.660850672,486.58049276404734,486.24634539012385
44,26.979,44.951,250.029,374.507,94.698299895,502.58921225640523,486.59796481133014
45,28.234,46.244,262.390,396.249,96.803183941,486.4876057880494,486.59556516972765
46,27.362,48.855,250.223,419.062,98.914561105,484.99151049831005,486.56132587911964
47,27.837,47.505,246.613,380.304,100.967353821,498.8326351797131,486.8108169610856
48,27.715,49.722,252.745,388.503,103.071237446,486.7189362719635,486.8089414982301
49,27.830,48.738,255.029,394.355,105.174139374,486.9461511093331,486.8116849326661
50,27.734,45.971,244.624,383.350,107.215722338,501.57158345096775,487.0927403292835
51,27.676,47.633,246.208,421.479,109.306659452,489.7325668685799,487.1432378132722
52,28.752,47.680,275.550,406.727,111.431333641,481.95624783391435,487.0443368725077
53,27.668,46.276,254.224,402.125,113.491390824,497.07358050555337,487.22638429686566
54,28.118,48.792,274.203,417.566,115.588692688,488.24635956171824,487.244891263027
55,28.885,48.811,259.352,402.920,117.691301754,487.0139754262813,487.2407658457312
56,28.588,47.036,256.196,435.258,119.790583198,487.78595310634324,487.25032003162084
57,29.139,47.516,262.009,373.765,121.830831917,501.89959217418226,487.4956451127424
58,28.003,48.390,267.554,407.855,123.934237203,486.82962185918996,487.484341401486
59,27.611,47.663,255.630,387.926,126.026026904,489.5329580743523,487.51834449880545
60,28.018,47.039,241.039,401.192,128.122298432,488.48633696655287,487.53418229655256
61,28.316,45.849,244.061,414.401,130.189556844,495.34204048022974,487.6581619835658
62,27.688,47.308,273.043,391.669,132.289364082,487.6638109769238,487.65825164910484
63,27.832,47.603,254.925,406.928,134.403402115,484.38106789727425,487.60670465711297
